"Admin can enter SKUs in System Configuration.","Admin can enter SKUs in System Configuration."
"The product slider displays the specified products.","The product slider displays the specified products."
"The maximum number of products displayed in the slider is configurable.","The maximum number of products displayed in the slider is configurable."
"Out-of-stock products are not displayed in the slider.","Out-of-stock products are not displayed in the slider."
"Each product in the slider shows:","Each product in the slider shows:"
"Image","Image"
"Price","Price"
"Name","Name"
"Add to Cart button","Add to Cart button"
"The implementation reuses existing product blocks if available.","The implementation reuses existing product blocks if available."
